,size,intensity
966,3297,1
967,3760,2
968,3267,2
969,3713,12
970,2882,6
971,2859,38
972,4246,31
973,3246,40
974,3728,19
975,2573,1
976,3473,20
977,4676,6
978,3020,1
979,2735,14
980,2423,26
981,1820,20
982,3955,37
983,1551,9
984,4258,15
985,2030,39
986,1909,7
987,4298,1
988,2980,28
989,2053,1
990,3729,2
991,3567,29
992,2174,1
993,2610,52
994,3401,23
995,1761,5
996,2174,17
997,2161,15
998,3567,39
999,2356,3
1000,2169,1
1001,3737,10
1002,2192,15
1003,2261,18
1004,4437,29
1005,2538,9
1006,4334,11
1007,1716,14
1008,2668,1
1009,2604,36
1010,2185,5
1011,3108,33
1012,1749,10
1013,2429,1
1014,3134,31
1015,4306,12
1016,1621,16
1017,2780,31
1018,3926,51
1019,3769,2
1020,1345,4
1021,2576,3
1022,2282,79
1023,3978,18
1024,2571,19
1025,1653,13
1026,2138,26
1027,2142,5
1028,2365,1
1029,1856,27
1030,1494,1
1031,2488,56
1032,2174,10
1033,3371,7
1034,1954,2
1035,2471,7
1036,2107,24
1037,2176,1
1038,1407,1
1039,1686,15
1040,1430,34
1041,2770,23
1042,1755,1
1043,3612,20
1044,3579,60
1045,2240,31
1046,3359,3
1047,3451,7
1048,1517,9
1049,3136,70
1050,868,1
1051,3319,29
1052,4693,22
1053,3966,58
1054,1883,1
1055,2536,1
1056,2188,1
1057,1968,7
1058,2283,75
1059,2425,50
1060,1474,3
1061,798,24
1062,3345,10
1063,4108,21
1064,1008,1
1065,2449,15
1066,3767,69
1067,4059,43
1068,2454,3
1069,1069,38
1070,2025,1
1071,1967,8
1072,1493,31
1073,1228,21
1074,1086,15
1075,1854,31
1076,1934,29
1077,2038,15
1078,1686,18
1079,1813,39
1080,2596,4
1081,2246,24
1082,1415,2
1083,1251,26
1084,1386,1
1085,1610,7
1086,1452,16
1087,1443,1
1088,3358,1
1089,1990,2
1090,1747,21
1091,4126,60
1092,1163,9
1093,754,42
1094,4199,22
1095,3288,19
1096,1856,27
1097,1561,1
1098,1886,26
1099,1679,14
1100,1611,37
1101,2750,11
1102,1804,11
1103,1736,38
1104,1279,1
1105,1038,27
1106,2052,2
1107,1819,67
1108,516,19
1109,2540,5
1110,3451,34
1111,2154,30
1112,1143,36
1113,994,1
1114,759,35
1115,1971,33
1116,758,1
1117,3304,42
1118,5395,31
1119,1189,85
1120,1380,1
1121,2485,4
1122,685,20
1123,755,10
1124,1406,40
1125,1098,25
1126,981,1
1127,910,2
1128,2174,59
1129,1093,1
1130,1003,1
1131,656,1
1132,7115,40
1133,775,2
1134,536,15
1135,573,1
1136,3603,33
1137,1000,38
1138,6338,9
1139,2717,3
1140,1875,33
1141,792,1
1142,803,1
1143,154,47
1144,318,18
1145,4160,25
1146,670,1
1147,2826,39
1148,321,1
1149,206,54
1150,584,2
1151,168,26
1152,198,15
1153,4809,255
1154,2902,1
1155,3482,1
1156,5253,1
1157,2255,1
1158,3412,1
1159,3312,1
1160,4520,1
1161,2567,10
1162,6237,79
1163,3077,15
1164,4317,31
1165,6653,1
1166,3278,42
1167,2476,1
1168,4989,114
1169,2398,1
1170,5574,1
1171,6560,1
1172,5222,1
1173,4487,4
1174,3376,1
1175,1999,1
1176,5608,1
1177,2287,1
1178,3125,20
1179,3415,1
1180,3352,1
1181,3439,8
1182,2927,20
1183,6553,1
1184,2333,6
1185,4091,1
1186,2669,1
1187,2221,1
1188,1811,22
1189,5810,156
1190,3908,1
1191,4226,1
1192,1480,1
1193,1438,5
1194,5221,7
1195,2072,1
1196,3012,1
1197,2492,1
1198,699,1
1199,2221,1
1200,2462,1
1201,1774,1
1202,1395,1
1203,578,11
1204,186,255
1205,3083,70
1206,5401,35
1207,2716,2
1208,6140,1
1209,4084,0
1210,2461,5
1211,2798,1
1212,6217,32
1213,5645,50
1214,5790,10
1215,6477,1
1216,1810,1
1217,5625,139
1218,1937,18
1219,3630,54
1220,2852,5
1221,4366,1
1222,4543,1
1223,4868,1
1224,2357,255
1225,4029,1
1226,2237,0
1227,6557,1
1228,3722,1
1229,2930,1
1230,4039,1
1231,2995,7
1232,2397,4
1233,4230,1
1234,2398,3
1235,4057,88
1236,2367,0
1237,1534,2
1238,2468,1
1239,2363,2
1240,2520,27
1241,1610,1
1242,1370,1
1243,1618,1
1244,5310,1
1245,1995,1
1246,2814,1
1247,1023,1
1248,1796,65
1249,1419,3
1250,1234,1
1251,2109,1
1252,5560,255
1253,2593,1
1254,186,255
1255,653,0
1256,3256,1
1257,3455,1
1258,4215,217
1259,3178,1
1260,3504,1
1261,2677,1
1262,2092,5
1263,2415,1
1264,3045,5
1265,2643,1
1266,3333,20
1267,2289,1
1268,1903,3
1269,1655,2
1270,2324,0
1271,4260,20
1272,1517,1
1273,1764,15
1274,1898,2
1275,1532,2
1276,4028,43
1277,1468,0
1278,3492,2
1279,1806,8
1280,1607,1
1281,1658,1
1282,2070,0
1283,1880,39
1284,1167,0
1285,420,1
1286,3653,1
1287,260,0
1288,4410,47
1289,2702,3
1290,2680,2
1291,3969,34
1292,3779,26
1293,3168,38
1294,3756,34
1295,3965,2
1296,3197,1
1297,2143,4
1298,4362,1
1299,2134,1
1300,3396,9
1301,4296,5
1302,3896,24
1303,1835,1
1304,2492,19
1305,2096,1
1306,3862,47
1307,2297,6
1308,4487,23
1309,2174,0
1310,1874,3
1311,2355,20
1312,2861,2
1313,1668,7
1314,4772,31
1315,5641,23
1316,2199,1
1317,1637,13
1318,1801,1
1319,4187,1
1320,2208,0
1321,4508,43
1322,1714,15
1323,1707,24
1324,1503,3
1325,1207,1
1326,2094,1
1327,4060,17
1328,5059,17
1329,2787,10
1330,1894,2
1331,4050,8
1332,2806,2
1333,1536,10
1334,5444,19
1335,1549,1
1336,3191,1
1337,4462,26
1338,741,0
1339,523,1
1340,436,1
1341,1039,0
1342,622,0
1343,451,11
1344,1593,0
1345,2832,15
1346,316,0
1347,238,0
1348,1335,0
1349,497,1
1350,184,0
1351,3336,10
1352,3095,4
1353,3349,1
1354,2411,3
1355,3240,31
1356,3048,31
1357,3855,22
1358,2584,20
1359,3883,35
1360,2704,4
1361,2905,1
1362,4128,47
1363,2234,4
1364,3704,126
1365,1905,4
1366,2268,15
1367,3055,1
1368,2147,33
1369,2896,8
1370,2454,4
1371,2742,56
1372,2510,28
1373,4086,104
1374,2718,20
1375,2760,21
1376,1536,1
1377,2508,1
1378,2162,37
1379,2546,47
1380,2283,1
1381,2211,16
1382,3120,1
1383,2678,60
1384,5035,47
1385,2422,47
1386,2548,14
1387,1661,12
1388,2510,45
1389,1635,9
1390,2096,41
1391,1800,10
1392,3248,9
1393,3427,51
1394,1806,39
1395,3063,5
1396,2327,1
1397,1779,47
1398,1714,1
1399,2864,9
1400,5107,27
1401,2122,8
1402,2572,1
1403,2601,55
1404,2707,43
1405,1961,1
1406,1964,1
1407,1555,3
1408,2078,5
1409,3812,1
1410,1800,8
1411,3474,40
1412,2379,1
1413,1868,1
1414,2793,63
1415,2250,2
1416,1508,8
1417,1658,3
1418,1340,8
1419,1943,1
1420,2023,1
1421,1638,9
1422,2083,34
1423,1285,9
1424,1886,1
1425,2456,42
1426,6736,13
