,size,intensity
1455,1439,88
1456,1470,31
1457,1423,30
1458,2566,20
1459,1356,16
1460,3971,101
1461,2165,147
1462,423,2
1463,1377,14
1464,1373,63
1465,1113,11
1466,1342,20
1467,1743,1
1468,3645,15
1469,981,1
1470,843,19
1471,499,1
1472,2806,51
1473,649,2
1474,438,1
1475,1302,67
1476,879,53
1477,417,1
1478,512,2
1479,2333,174
1480,434,8
1481,3052,103
1482,365,87
1483,396,1
1484,889,73
1485,464,1
1486,415,63
1487,352,1
1488,281,2
1489,707,1
1490,5695,91
1491,2222,147
1492,897,76
1493,526,25
1494,192,1
1495,3531,42
1496,405,95
1497,1979,81
1498,4207,100
1499,4258,5
1500,2788,7
1501,3994,1
1502,2318,2
1503,2260,1
1504,4022,3
1505,2203,1
1506,2504,15
1507,2034,19
1508,5070,94
1509,1862,42
1510,1953,255
1511,1679,255
1512,2303,2
1513,2051,3
1514,3515,12
1515,1723,1
1516,3435,255
1517,2179,4
1518,3917,1
1519,3507,4
1520,2368,93
1521,1668,1
1522,2745,150
1523,1458,1
1524,2379,106
1525,2262,3
1526,1852,4
1527,2548,1
1528,2309,28
1529,965,3
1530,4348,45
1531,796,1
1532,2440,3
1533,1783,4
1534,896,149
1535,2862,1
1536,846,1
1537,1429,255
1538,869,75
1539,1028,138
1540,2887,1
1541,2477,255
1542,484,1
1543,840,1
1544,442,33
1545,254,0
1546,3559,14
1547,2748,1
1548,3014,5
1549,5727,9
1550,3936,2
1551,3063,74
1552,4373,79
1553,3741,34
1554,1893,1
1555,3327,255
1556,4703,159
1557,2140,1
1558,2372,2
1559,2271,137
1560,2867,15
1561,2684,4
1562,2510,1
1563,5526,1
1564,2339,255
1565,2232,255
1566,4318,33
1567,5484,78
1568,3037,4
1569,2180,76
1570,3372,106
1571,3872,1
1572,2313,90
1573,1039,54
1574,1427,1
1575,2111,2
1576,4991,13
1577,740,176
1578,1347,15
1579,796,108
1580,6692,124
1581,267,0
1582,274,12
1583,698,78
1584,2421,7
1585,3698,150
1586,2965,97
1587,2923,2
1588,2777,1
1589,2954,13
1590,3832,3
1591,2901,5
1592,2963,2
1593,3468,36
1594,2352,2
1595,2435,2
1596,3167,15
1597,5113,2
1598,2538,84
1599,1679,1
1600,1831,1
1601,3052,16
1602,2478,7
1603,2495,69
1604,1900,28
1605,2593,49
1606,1898,51
1607,2888,3
1608,2020,16
1609,2594,31
1610,3021,14
1611,2916,85
1612,1997,7
1613,3186,68
1614,2585,10
1615,2935,15
1616,3612,52
1617,2038,1
1618,1916,15
1619,1667,2
1620,1762,2
1621,2508,9
1622,3298,1
1623,2269,9
1624,2414,108
1625,3865,70
1626,2392,5
1627,2501,36
1628,3580,91
1629,2121,36
1630,2245,20
1631,4579,73
1632,2867,10
1633,1801,1
1634,1704,1
1635,2105,18
1636,2260,15
1637,1760,3
1638,1914,28
1639,1675,22
1640,2664,4
1641,4335,34
1642,3131,3
1643,2839,11
1644,2712,45
1645,2560,3
1646,1548,3
1647,1782,25
1648,1642,12
1649,1995,2
1650,2985,5
1651,1919,14
1652,2208,26
1653,2583,19
1654,2027,1
1655,4902,88
1656,1775,15
1657,1842,76
1658,4250,74
1659,1891,13
1660,1608,11
1661,2170,16
1662,1615,10
1663,2200,22
1664,2020,1
1665,2480,79
1666,1793,11
1667,1783,27
1668,2579,3
1669,1745,18
1670,1509,7
1671,1827,45
1672,1694,19
1673,1260,1
1674,1482,23
1675,1392,4
1676,2018,1
1677,2929,58
1678,2566,42
1679,1621,32
1680,1119,1
1681,1228,11
1682,2129,6
1683,1290,1
1684,729,3
1685,961,12
1686,1987,12
1687,1663,21
1688,1538,18
1689,2150,45
1690,1889,39
1691,1377,8
1692,1440,18
1693,813,14
1694,3619,9
1695,2370,34
1696,1816,28
1697,1544,20
1698,2155,59
1699,4598,39
1700,3112,1
1701,1286,8
1702,876,1
1703,2413,12
1704,899,1
1705,2292,98
1706,1206,15
1707,3397,36
1708,1481,5
1709,1333,31
1710,1839,57
1711,2015,52
1712,1414,35
1713,721,62
1714,1310,21
1715,1376,6
1716,1655,37
1717,2193,12
1718,1759,1
1719,1647,1
1720,580,17
1721,648,1
1722,3783,125
1723,4200,64
1724,1083,1
1725,1362,79
1726,321,1
1727,657,1
1728,539,7
1729,558,2
1730,172,74
1731,250,1
1732,312,1
1733,361,2
1734,2649,21
1735,3260,48
1736,3609,34
1737,2968,15
1738,3440,34
1739,2203,6
1740,3600,1
1741,1966,24
1742,3802,1
1743,2008,19
1744,1955,1
1745,2461,7
1746,2936,79
1747,3587,31
1748,3073,3
1749,3464,80
1750,3277,14
1751,1858,1
1752,4633,32
1753,2571,10
1754,2230,14
1755,2246,39
1756,3131,15
1757,2280,1
1758,3859,36
1759,3248,44
1760,1806,1
1761,1470,5
1762,3257,255
1763,4143,4
1764,1883,47
1765,1514,24
1766,2189,4
1767,1841,14
