,size,intensity
1207,2198,58
1208,2936,8
1209,1892,1
1210,2169,2
1211,1863,15
1212,3060,9
1213,1889,37
1214,1380,5
1215,2428,1
1216,1626,16
1217,3064,2
1218,2307,13
1219,3443,28
1220,2407,17
1221,1508,1
1222,1724,1
1223,2490,4
1224,1722,14
1225,1894,22
1226,1826,8
1227,1337,3
1228,2252,1
1229,1294,1
1230,1803,4
1231,1742,4
1232,1831,1
1233,1931,5
1234,1573,24
1235,2670,28
1236,1603,1
1237,1576,1
1238,1937,26
1239,1810,12
1240,2025,23
1241,2130,8
1242,1801,44
1243,2023,5
1244,1692,31
1245,2065,1
1246,1843,1
1247,1408,11
1248,1725,11
1249,1688,6
1250,2001,79
1251,2354,1
1252,2158,22
1253,1613,1
1254,4622,2
1255,1247,3
1256,1902,5
1257,1449,1
1258,1558,1
1259,2232,10
1260,1393,1
1261,1317,37
1262,2729,2
1263,1570,24
1264,1494,23
1265,1699,28
1266,1659,11
1267,1516,13
1268,1618,1
1269,1551,5
1270,1558,2
1271,1413,8
1272,1863,31
1273,1408,7
1274,1357,3
1275,1505,17
1276,1243,1
1277,1734,9
1278,1469,9
1279,2674,0
1280,1566,4
1281,1551,5
1282,1540,14
1283,2172,41
1284,2100,4
1285,1401,3
1286,1307,1
1287,1980,0
1288,2319,88
1289,1797,15
1290,1474,38
1291,2496,3
1292,1519,7
1293,4411,8
1294,1783,1
1295,1495,42
1296,1490,23
1297,755,1
1298,1629,2
1299,415,1
1300,1712,1
1301,1495,89
1302,386,21
1303,1089,0
1304,775,1
1305,502,0
1306,442,1
1307,1292,1
1308,676,0
1309,175,0
1310,267,1
1311,396,0
1312,263,1
1313,253,0
1314,391,0
1315,221,0
1316,632,0
